title,link,abstract
Sustainable Transportation Management System for a Fleet of Electric Vehicles,/doi/10.1109/TITS.2014.2367099,"In the last few years, significant efforts have been devoted to developing intelligent and sustainable transportation to address pollution problems and fuel shortages. Transportation agencies in various countries, along with several standardization organizations, have proposed different types of energy sources (such as hydrogen, biodiesel, electric, and hybrid technologies) as alternatives to fossil fuel to achieve a more ecofriendly and sustainable environment. However, to achieve this goal, there are significant challenges that still need to be addressed. We present a survey on sustainable transportation systems that aim to reduce pollution and greenhouse gas emissions. We describe the architectural components of a future sustainable means of transportation, and we review current solutions, projects, and standardization efforts related to green transportation with particular focus on electric vehicles. We also highlight the main issues that still need to be addressed to achieve a green transportation management system. To address these issues, we present an integrated architecture for sustainable transportation management systems."
MobileTrust: Secure Knowledge Integration in VANETs,/doi/10.1145/3364181,"Vehicular Ad hoc NETworks (VANET) are becoming popular due to the emergence of the Internet of Things and ambient intelligence applications. In such networks, secure resource sharing functionality is accomplished by incorporating trust schemes. Current solutions adopt peer-to-peer technologies that can cover the large operational area. However, these systems fail to capture some inherent properties of VANETs, such as fast and ephemeral interaction, making robust trust evaluation of crowdsourcing challenging. In this article, we propose MobileTrust—a hybrid trust-based system for secure resource sharing in VANETs. The proposal is a breakthrough in centralized trust computing that utilizes cloud and upcoming 5G technologies to provide robust trust establishment with global scalability. The ad hoc communication is energy-efficient and protects the system against threats that are not countered by the current settings. To evaluate its performance and effectiveness, MobileTrust is modelled in the SUMO simulator and tested on the traffic features of the small-size German city of Eichstatt. Similar schemes are implemented in the same platform to provide a fair comparison. Moreover, MobileTrust is deployed on a typical embedded system platform and applied on a real smart car installation for monitoring traffic and road-state parameters of an urban application. The proposed system is developed under the EU-founded THREAT-ARREST project, to provide security, privacy, and trust in an intelligent and energy-aware transportation scenario, bringing closer the vision of sustainable circular economy."
A Multi-Tenant Cloud-Based DC Nano Grid for Self-Sustained Smart Buildings in Smart Cities,/doi/10.1109/MCOM.2017.1600228CM,"Energy is one of the most valuable resources of the modern era and needs to be consumed in an optimized manner by an intelligent usage of various smart devices, which are major sources of energy consumption nowadays. With the popularity of low-voltage DC appliances such as-LEDs, computers, and laptops, there arises a need to design new solutions for self-sustainable smart energy buildings containing these appliances. These smart buildings constitute the next generation smart cities. Keeping focus on these points, this article proposes a cloud-assisted DC nanogrid for self-sustainable smart buildings in next generation smart cities. As there may be a large number of such smart buildings in different smart cities in the near future, a huge amount of data with respect to demand and generation of electricity is expected to be generated from all such buildings. This data would be of heterogeneous types as it would be generated from different types of appliances in these smart buildings. To handle this situation, we have used a cloudbased infrastructure to make intelligent decisions with respect to the energy usage of various appliances. This results in an uninterrupted DC power supply to all low-voltage DC appliances with minimal dependence on the grid. Hence, the extra burden on the main grid in peak hours is reduced as buildings in smart cities would be self-sustainable with respect to their energy demands. In the proposed solution, a collection of smart buildings in a smart city is taken for experimental study controlled by different data centers managed by different utilities. These data centers are used to generate regular alerts on the excessive usage of energy from the end users' appliances. All such data centers across different smart cities are connected to the cloud-based infrastructure, which is the overall manager for making all the decisions about energy automation in smart cities. The efficacy of the proposed scheme is evaluated with respect to various performance evaluation metrics such as satisfaction ratio, delay incurred, overhead generated, and demand-supply gap. With respect to these metrics, the performance of the proposed scheme is found to be good for implementation in a realworld scenario."
Intelligent Management Systems for Energy Efficiency in Buildings: A Survey,/doi/10.1145/2611779,"In recent years, reduction of energy consumption in buildings has increasingly gained interest among researchers mainly due to practical reasons, such as economic advantages and long-term environmental sustainability. Many solutions have been proposed in the literature to address this important issue from complementary perspectives, which are often hard to capture in a comprehensive manner. This survey article aims at providing a structured and unifying treatment of the existing literature on intelligent energy management systems in buildings, with a distinct focus on available architectures and methodology supporting a vision transcending the well-established smart home vision, in favor of the novel Ambient Intelligence paradigm. Our exposition will cover the main architectural components of such systems, beginning with the basic sensory infrastructure, moving on to the data processing engine where energy-saving strategies may be enacted, to the user interaction interface subsystem, and finally to the actuation infrastructure necessary to transfer the planned modifications to the environment. For each component, we will analyze different solutions, and we will provide qualitative comparisons, also highlighting the impact that a single design choice can have on the rest of the system."
Data analytics for energy consumption of digital manufacturing systems using Internet of Things method,/doi/10.1109/COASE.2017.8256150,"The topic of &#x2018;Industry 4.0&#x2019; has become increasingly popular in manufacturing and academia since it was first published. Under this trending topic, researchers and companies have pointed out many related capabilities required by current manufacturing systems, such as automation, interoperability, consciousness, and intelligence. To achieve these capabilities, data is considered the vitally important connecting media that integrates different manufacturing objects and activities. Additionally, sustainability is one of the most important research areas of Industry 4.0. Although modern digital manufacturing systems are becoming increasingly automated, the issue of sustainability still attracts attention, and is related to many processing factors that are present in a wide variety of systems. As a result, defining the energy consumption behaviour of digital manufacturing systems and discovering more efficient usage methods has been established as a crucial research target. In this paper, data analysis methods are proposed to facilitate better understanding and prediction of the energy consumption of digital production processes under an Internet of Things (IoT) framework. A Selective Laser Sintering (SLS) system is applied as a case study, in which a variety of real-time raw data is collected within machine logs from this ongoing Additive Manufacturing (AM) system. The machine data logs are combined with the product layout data and analysed using three data analysis techniques: linear regression, the decision tree method and the Back-propagation Neural Network method. The future work is introduced in order to complete this research."
Hydropower production prediction using artificial neural networks: an Ecuadorian application case,/doi/10.1007/s00521-021-06746-5,"AbstractHydropower is among the most efficient technologies to produce renewable electrical energy. Hydropower systems present multiple advantages since they provide sustainable and controllable energy. However, hydropower plants’ effectiveness is affected by multiple factors such as river/reservoir inflows, temperature, electricity price, among others. The mentioned factors make the prediction and recommendation of a station’s operational output a difficult challenge. Therefore, reliable and accurate energy production forecasts are vital and of great importance for capacity planning, scheduling, and power systems operation. This research aims to develop and apply artificial neural network (ANN) models to predict hydroelectric production in Ecuador’s short and medium term, considering historical data such as hydropower production and precipitations. For this purpose, two scenarios based on the prediction horizon have been considered, i.e., one-step and multi-step forecasted problems. Sixteen ANN structures based on multilayer perceptron (MLP), long short-term memory (LSTM), and sequence-to-sequence (seq2seq) LSTM were designed. More than 3000 models were configured, trained, and validated using a grid search algorithm based on hyperparameters. The results show that the MLP univariate and differentiated model of one-step scenario outperforms the other architectures analyzed in both scenarios. The obtained model can be an important tool for energy planning and decision-making for sustainable hydropower production."
Simulation of IoT to Boost Services Interoperability and Lower Barriers for Things Integration,/doi/10.1145/3290621.3290628,"
Nowadays many appliances, machines and services assist human on day-to-day basis. Let's call those fridges, cars, navigators and vacuum cleaners - Entities (or Things). However, in order to enable those Entities to act consumers spend a lot of time and energy. E.g. one has to load food into a fridge, tank fuel into a car, etc. What if Entities would want to do better what they were designed for? What if Entities would have intelligence to be self-maintaining, looking for supply needed, tune their service functions for a particular consumer given current context? The paper outlines directions for further development of global IoT towards these goals. For these purposes requirements for scalable interoperability model between IoT Entities formulated and a particular model satisfying these requirements proposed. Also, alternatives for distribution of intelligence across IoT discussed with focus on consequences to IoT scalability. Finally, software simulation approach to IoT development proposed. It is suggested that key roadblocks on the path to IoT sustainable growth can be removed by running simulation of IoT universe. In particular, software simulation allows validation and debugging of given IoT interoperability model; experiments with adding random capabilities to various IoT entities; exposure of new usage scenarios and deep validation of new IoT entities integration into network.
"
Security Strategy Optimization and Algorithm Based on 3D Economic Sustainable Supply Chain,/doi/10.1155/2022/9972658,"Based on the background of system intelligence in the Internet of things era, this paper applied the design field of interaction design and user experience in the early days, and conducted further in-depth investigation through a large number of case studies and the use of quantitative and qualitative investigation methods. Based on this, the theories and strategies of the interaction design between enterprise members and intelligent machines were put forward and tested by actual design. At present, air pollution, energy shortage, and other issues are becoming more and more prominent, and calls for energy conservation, emission reduction, strengthening corporate social responsibility, and reducing the impact of economic development on the environment and society are growing. Therefore, companies must rethink their strategies and adapt their supply chains. Based on limited resources, enterprise machines have traditionally acted as a tool or a communication tool for a person. Yet, at the same time as the economy develops, the direct interaction between human and machine gradually emerges, and the economic development of an enterprise is bound to contradict environmental protection and social responsibility. Therefore, for enterprises, in different periods, different priority strategies will be adopted for the three dimensions of economy, environment, and society. The results showed that the economic benefit has increased by about 30% or more, and the ecological pollution has been reduced by about 40% on the original basis. Under the action of a sustainable supply chain, consumer satisfaction tends to be full and can be maintained at about 97%. In this context, the comparative analysis of the strategic optimization of enterprises in the supply chain is the focus of this thesis."
An energy-efficient bi-objective no-wait permutation flowshop scheduling problem to minimize total tardiness and total energy consumption,/doi/10.1016/j.cie.2020.106431,"Highlights •Total tardiness & total energy consumption minimization are addressed for NWPFSP.•MILP and CP models are proposed for bi-objective NWPFSP.•3 metaheuristic algorithms are developed for bi-objective NWPFSP.•A novel truncation method is proposed and 30 small instances are generated.•The performances of the metaheuristics are compared with time-limited CP results. AbstractIn manufacturing scheduling, sustainability concerns that raise from the service-oriented performance criteria have seldom been studied in the literature. This study aims to fill this gap in the literature by integrating the different energy consumption levels at the operational level. Since energy-efficient scheduling ideas have recently been increasing its popularity in industry due to the need for sustainable production, this study will be a good resource for future energy-efficient scheduling problems. Energy consumption in high volume manufacturing is a significant cost item in most industries. Potential energy saving mechanisms are needed to be integrated into manufacturing facilities for cost minimization at the operational level. A leading energy-saving mechanism in manufacturing is to be able to adapt/change the machine speed levels which exactly determines the energy consumption of the machines. Hence, in this study, the afore-mentioned framework is applied to the no-wait permutation flowshop scheduling problem (NWPFSP) which is a variant of classical permutation flowshop scheduling problems. However, it has various critical applications in industries such as chemical, pharmaceutical, food-processing, etc. This study proposes both mixed-integer linear programming (MILP) and constraint programming (CP) model formulations for the energy-efficient bi-objective no-wait permutation flowshop scheduling problems (NWPFSPs) considering the total tardiness and the total energy consumption minimization simultaneously. This problem treats total energy consumption as a second objective. Thus, the trade-off between the total tardiness – a service level measurement indicator – and the total energy consumption – a sustainability level indicator – is analyzed in this study. Furthermore, due to the NP-hardness nature of the first objective of the problem, a novel multi-objective discrete artificial bee colony algorithm (MO-DABC), a traditional multi-objective genetic algorithm (MO-GA) and a variant of multi-objective genetic algorithm with a local search (MO-GALS) are proposed for the bi-objective no-wait permutation flowshop scheduling problem. Besides the proposed algorithms are compared with the multi-objective energy-efficient algorithms from the literature. Consequently, a comprehensive comparative metaheuristic analysis is carried out. The computational results indicate that the proposed MO-DABC algorithm outperforms MILP, CP, MO-GA, MO-GALS, and algorithms from the literature in terms of both cardinality and quality of the solutions. The powerful results of this study show that the proposed models and algorithms can be adapted to other energy-efficient scheduling problems such as no-idle flowshop, blocking flowshop and job-shop scheduling problems or to other higher-level integrated manufacturing problems."
The business performance evaluation index method for the high-tech enterprises based on the DEA model,/doi/10.3233/JIFS-179763,"With the new round of scientific and technological revolution and industrial change accelerating, “electrification, intelligence, network and sharing” has become a new trend of the current automotive industry reform. Accelerating the cultivation and development of new energy vehicles has not only become an urgent task to effectively alleviate the pressure of energy and environment in China and promote the sustainable development of the automobile industry, but also a strategic measure to accelerate the transformation and upgrading of the automobile industry in China. In view of the low survival rate of high-tech innovating enterprises and high input and high risk of high-tech enterprises, it is of great significance to assess and evaluate the operating efficiency of the high-tech innovating enterprises. This study used the entropy weight method to establish a DEA -based business performance evaluation index model to evaluate and analyze the business performance of the listed new energy vehicles enterprises in China in 2018. The result shows that most of the new energy vehicles enterprises are in the state of increasing returns to scale, conforming to the characteristic of high growth of high-tech enterprises; however, the overall operational efficiency of these enterprises is very low and some of them face the problem of obvious scientific research input redundancy; therefore, the improper input-output framework is the main reason lead to the low scale efficiency for the enterprises and provide corresponding policy proposals for these problems."
A novel design of wireless-powered IRS-aided relay networks,/doi/10.1145/3556223.3556246,"
This paper studies a wireless-powered communication network where a source communicates with a destination with the assistance of a self-sustainable relay and a self-sustainable intelligent reflection surface (IRS). To improve throughput performance, we propose a new protocol for the studied network. In the proposed protocol, the relay and the IRS can flexibly switch their operation among energy harvesting, information receiving at the relay and information forwarding to the destination, which corresponds to two operation modes. We formulate a stochastic optimization problem and use a Lyapunov optimization framework to tackle this problem. Numerical results show that our proposed design can achieve superior throughput performance in wireless-powered relay networks.
"
"Real-time optimal water allocation for daily hydropower generation from the Vanderkloof dam, South Africa",/doi/10.1016/j.asoc.2016.05.018,"Display Omitted The adverse effects of power shortages resulting from escalating energy demands, due to rapid global urbanization and industrial developments, have driven efforts worldwide in search for improved techniques for sustainable reservoir operations and optimization for hydropower generation. Recent studies have shown that, combining accurate reservoir inflow forecasting procedures with efficient optimization techniques can produce more efficient and balanced solutions, for operation of multipurpose reservoir systems to improve on the economy of hydropower production. This study presents the coupling of a data driven artificial neural network (ANN) model and a novel combined Pareto multi-objective differential evolution (CPMDE), for hydrological simulation and multi-objective numerical optimization of hydropower production, from the Vanderkloof dam in real-time. Results from the application of the real-time strategy, indicate a significant improvement in performance over the current practice. Therefore, the hybrid ANN-CPMDE real-time reservoir operation model suggested herein provides a low cost solution methodology, suitable for sustainable operation of the Vanderkloof reservoir in South Africa."
A bearing vibration data analysis based on spectral kurtosis and ConvNet,/doi/10.1007/s00500-018-3644-5,"AbstractToday’s modern industry has accepted condition monitoring based on intelligent fault diagnosis of rotating machinery systems to provide precision and sustainability. The conventional signal processing methods are less productive due to the involvement of various noises from different sources in the vibration signal, and therefore, recently fault diagnosis approaches use the artificial intelligent techniques along with the signal processing methods. Thus, motivated by the kurtogram and convolutional neural network (CNN), a novel efficient method for the fault classification of rotating machines is proposed in this paper. Kurtogram is a measure of dispersion for time–frequency energy density which provides additional frequency contents information and as an effect represents a pattern of each fault uniquely. Thus, it inspires to utilize the kurtogram as an input feature vector, and it helps in reducing the task of identifying dominant features to represent the different faults. Hence, this 2D distinct feature vector presented to CNN for fault classification. The various levels of kurtogram are examined by tuning different hyperparameters of CNN to achieve a good feature set for decent performance. The experimental results demonstrate that the proposed method effectively classifies the bearing faults under different operating conditions in comparison to other methods."
Zero-Touch AI-Driven Distributed Management for Energy-Efficient 6G Massive Network Slicing,/doi/10.1109/MNET.111.2100322,"Sixth-generation (6G) systems are expected to inaugurate the era of massive and extremely heterogeneous network slicing, where tenancy would be extended to the final consumer with the proliferation of advanced and diverse digital services. This introduces significant challenges to network management and orchestration in terms of scalability and sustainability. This article starts by elaborating on the architectural and artificial-in-telligence-based algorithmic designs to achieve energy efficiency (EE) in 6G, as well as analyzing their trade-offs. The article then introduces a novel statistical federated learning (StFL)-based analytic engine for zero-touch 6G massive network slicing, which performs slice-level resource prediction by learning in an offline fashion while respecting some preset long-term service level agreement (SLA) constraints defined in terms of the empirical cumulative distribution function and the percentile statistics, and hence uses a new proxy-Lagrangian two-player strategy to solve the local non-convex federated learning task without settling for surro-gates only. This guarantees 20 &#x00D7; lower service-lev-el agreement (SLA) violation rate with respect to the federated averaging (FedAvg) scheme, while achieving more than 10 &#x00D7; EE gain compared to an SLA-constrained centralized deep learning algorithm, which paves the way to sustainable mas-sive network slicing. Finally, the key open research directions in this emerging area are identified."
Multi-objective optimization of greening scheduling problems of part feeding for mixed model assembly lines based on the robotic mobile fulfillment system,/doi/10.1007/s00521-021-05761-w,"AbstractSince greening scheduling problems are drawing increasing attention from researchers and modern manufacturing enterprises, and the energy consumption is a substantial problem regarding the greening and sustainability, the aim of this paper is to construct an energy-saving scheduling scheme to carry out the part feeding tasks of mobile robots in the automobile mixed model assembly lines. The objective of minimizing the total energy consumption of mobile robots is jointly incorporated with the operational criterions when implementing part feeding tasks. Due to the NP-hardness nature of the proposed greening problem, a multi-objective disturbance and repair strategy enhanced cohort intelligence (MDRCI) algorithm is established to deal with the multi-objective problem. Computational results indicate that the enhanced strategies are of great significance to the MDRCI algorithm and it outperforms the other benchmark algorithms on both global search capability and search depth. In addition, the energy-saving strategy and disturbance and repair strategy are validated by comparison experiments. Furthermore, managerial insights are illustrated to make trade-offs between the total line-side inventory level and the energy consumption, jointly making it helpful in the greening scheduling process of the practical production. The achievements acquired in this paper may be inspiring for further researches on the energy-related production scheduling problem."
Energy and Transportation: A Case Study in China,/doi/10.1109/MIS.2007.50,"The Chinese government has made a national priority of developing a sustainable, resource- and energy-efficient society. The transportation sector of the Chinese economy is a major energy consumer. A cointegration analysis of its consumption patterns reveals interactions and dependencies among energy sources. Such results can help optimize policies and plans in an economic sector that has significant opportunities for efficiency improvements, including intelligent transportation technologies."
Clustering Household Preferences in Local Electricity Markets,/doi/10.1145/3208903.3214348,"
The current hierarchical, fossil-fuel based energy system is shifting towards a sustainable system based on distributed renewable generation. Simultaneously, energy end consumers become increasingly important as active prosumers. Local electricity markets (LEMs), on which prosumers and consumers can trade electricity locally, enable sustainable, distributed local electricity balances with an active involvement of the end customers. However, trading needs to be automated, and specified to the household's specific preferences in terms of price and electricity source. We show how intelligent agent strategies can fulfill both objectives. To this end, we conduct a multi-agent simulation of a LEM between 100 households and a community storage in a merit order LEM. LEM agents maximize their individual utility via automated Erev-Roth reinforcement learning. The learning strategies take into account the households' individual electricity preferences. To this end, agent preferences are grouped into truly greens, price-sensitive greens, and non adopters. The evaluation of the strategies is based on the agents' revenues, costs and electricity source mix. It shows that reinforcement learning can represent household preferences on LEMs.
"
Smart frost control in greenhouses by neural networks models,/doi/10.1016/j.compag.2017.03.024,"Development of ARX and ANN models to predict the internal temperature of greenhouses.Temperature predictor using a MLP-ANN trained by Levenberg-Marquardt-BP algorithm.Data validation by the ANOVA method and compared with the ARX model.The frost predictor of MLP-ANN could be used for an intelligent control in greenhouses. Thermal comfort in greenhouses is a key fact to enhance productivity, due to the excess demand of energy for heating, ventilation and agroclimatic conditioning. Frost, in particular, represents a serious technological challenge if the crop sustainability is to be ensured. A Multi-Layer Perceptron artificial neural network, trained by a Levenberg-Marquardt backpropagation algorithm was designed and implemented for the smart frost control in greenhouses in the central region of Mexico, with the outside air temperature, outside air relative humidity, wind speed, global solar radiation flux, and inside air relative humidity as the input variables. The results showed a 95% confidence temperature prediction, with a coefficient of determination of 0.9549 and 0.9590, for summer and winter, respectively."
Selecting key performance indicators for sustainable intelligent buildings,/doi/10.1145/1951493.1951496,"
Environmental concerns and the continual drive for energy efficiency in buildings, has led industry to look more closely at sustainable development and the sustainability of existing buildings. The majority of building environmental performance assessment methods developed today, involve a building meeting, or satisfying, pre-defined standards and requirements. Improvements to a building's environmental performance are usually ascertained by first benchmarking the current set up. In order to do this it is necessary to identify and understand specific building key performance indicators (KPIs). Selecting the most suitable KPIs, particularly when building systems are intelligently managed, can be both challenging and critical to the assessment of a building's environmental performance. This paper assesses some of the current practices and advances in building environmental performance assessment. It also considers how benchmarking and semiotics approaches may be integrated with current environmental assessment methods to more accurately measure the impact of users and building use.
"
Toward the Coevolution of Novel Vertical-Axis Wind Turbines,/doi/10.1109/TEVC.2014.2316199,"The production of renewable and sustainable energy is one of the most important challenges currently facing mankind. Wind has made an increasing contribution to the world's energy supply mix, but remains a long way from reaching its full potential. In this paper, we investigate the use of artificial evolution to design vertical-axis wind turbine prototypes that are physically instantiated and evaluated under approximated wind tunnel conditions. Initially, a conventional evolutionary algorithm is used to explore the design space of a single wind turbine and later a cooperative coevolutionary algorithm is used to explore the design space of an array of wind turbines. Artificial neural networks are used throughout as surrogate models to assist learning and found to reduce the number of fabrications required to reach a higher aerodynamic efficiency. Unlike other approaches, such as computational fluid dynamics simulations, no mathematical formulations are used and no model assumptions are made."
Life cycle assessment of an Internet of Things product: Environmental impact of an intelligent smoke detector,/doi/10.1145/3494322.3494332,"
 Digitization and sustainability are the two big topics of our current time. As the usage of digital products like IoT devices continues to grow, it affects the energy consumption caused by the Internet. At the same time, more and more companies feel the need to become carbon neutral and sustainable. Determining the environmental impact of an IoT device is challenging, as the production of the hardware components should be considered and the electricity consumption of the Internet since this is the primary communication medium of an IoT device. Estimating the electricity consumption of the Internet itself is a complex task. We performed a life cycle assessment (LCA) to determine the environmental impact of an intelligent smoke detector sold in Germany, taking its whole life-cycle from cradle-to-grave into account. We applied the impact assessment method ReCiPe 2016 Midpoint and compared its results with ILCD 2011 Midpoint+ to check the robustness of our results. The LCA results showed that electricity consumption during the use phase is the main contributor to environmental impacts. The mining of coal causes this contribution, which is a part of the German electricity mix. Consequently, the smoke detector mainly contributes to the impact categories of freshwater and marine ecotoxicity, but only marginally to global warming.
"
Designing sustainable smart connected communities using dynamic spectrum access via band selection,/doi/10.1145/3137133.3137153,"
While designing communication systems for sustainable smart connected communities (SCCs), energy efficiency is as important as quality of service (QoS). However, simultaneous achievement of both is difficult due to the varying demands posed by heterogeneous sensing modalities, lack of dedicated infrastructure in rural areas, and certain sustainability constraints. While low-power short range technologies often fail to achieve high QoS, using 3GPP technologies (LTE, LTE-A,GSM) for SCCs will eventually face spectrum scarcity and cross technology interference. While dynamic spectrum access (DSA) has been proposed to overcome policy constraints and improve spectrum scarcity by spectrum sharing, we show in this paper that harnessing DSA in the context of SCCs can achieve benefits in terms of end-to-end energy efficiency. This paper proposes a novel architecture for SCCs using a small scale DSA enabled overlay network over legacy infrastructure to improve the end-to-end energy efficiency while guaranteeing QoS. Specifically, our approach selectively exploits distinct electro-magnetic characteristics of various bands in order to intelligently match any message requirement with a suitable band, and hence determines the optimal TTL constrained energy-efficient (TcE) path that enhances the end-to-end energy efficiency and meets the TTL deadline. We formulate a constrained optimization problem and propose a dynamic programming approach for the determination of optimal TcE path for any given message. Compared to the homogeneous band approaches that opportunistically accesses channels within a predetermined band, our studies show that the band selection approach improves the energy efficiency by almost 40% while preserving the QoS.
"
Towards a holonic-control inspired local market approach used in intelligent energy systems,/doi/10.1109/SMC.2016.7844848,"The realization of a sustainable energy system for the future requires intelligent automation approaches and operational concepts, in addition to the usage of renewable sources. This paper analyzes the usage of the holonic-control principle as an open, scalable, and interoperable automation solution for setting up a local energy market in the context of smart buildings and energy-efficient neighborhoods. The necessary requirements, the corresponding automation architecture and validation through a co-simulation based proof-of-concept are discussed in this work."
Designing Green Communication Systems for Smart and Connected Communities via Dynamic Spectrum Access,/doi/10.1145/3274284,"Smart and connected communities (SCCs) are emerging as a novel paradigm that allows the community residents to be connected with surrounding environments through smart technologies. However, there remain important challenges to fully exploit the potential of SCCs in improving societal well-being and prosperity. In particular, there is a need for designing green communication systems that are also capable of providing high quality of service (QoS) to distribute and collect information to and from SCCs. However, simultaneously satisfying both of these criteria is difficult due to varying demands posed by heterogeneous sensing modalities, lack of dedicated infrastructure in rural/sub-urban areas, and certain sustainability constraints. While low-power short-range technologies often fail to achieve high QoS, using 3G or 4G technologies (LTE, LTE-A, GSM) for SCCs will eventually face spectrum scarcity and cross technology interference. In recent times, Dynamic spectrum access (DSA) has been proposed as a solution to overcome policy constraints and improve spectrum scarcity by spectrum sharing. In this article, we show that harnessing DSA in the context of SCCs can also achieve notable benefits in terms of energy efficiency and sustainability. Specifically, we propose a novel architecture for designing sustainable SCCs using a small-scale DSA-enabled overlay network that improves end-to-end energy efficiency of the network while guaranteeing QoS. We also propose a dynamic spectrum band selection approach that intelligently matches any message requirement to a suitable band type by exploiting distinct electro-magnetic characteristics of various bands. Since data generated in SCCs are typically valuable only when delivered within a certain hard (or soft) deadline, we formulate a linear optimization problem for determining the most energy-efficient path that ensures a delivery time within the hard deadline. After proving that such a problem is NP-Hard, we propose an exact pseudo-polynomial time dynamic programming algorithm to solve it followed by a polynomial time greedy heuristic. Additionally, we formulate a non-linear optimization problem to find the optimal path when the message delivery time is defined as a soft deadline and extend our greedy heuristic to handle soft deadlines. Compared to the homogeneous band access approaches that opportunistically access free channels within a given spectrum band, our extensive simulation study shows that the proposed dynamic multi-band selection approach significantly improves the achievable energy efficiency while meeting various hard and soft deadlines."
Axies: Identifying and Evaluating Context-Specific Values,/doi/10.5555/3463952.3464048,"
The pursuit of values drives human behavior and promotes cooperation. Existing research is focused on general (e.g., Schwartz) values that transcend contexts. However, context-specific values are necessary to (1) understand human decisions, and (2) engineer intelligent agents that can elicit human values and take value-aligned actions. We propose Axies, a hybrid (human and AI) methodology to identify context-specific values. Axies simplifies the abstract task of value identification as a guided value annotation process involving human annotators. Axies exploits the growing availability of value-laden text corpora and Natural Language Processing to assist the annotators in systematically identifying context-specific values. We evaluate Axies in a user study involving 60 subjects. In our study, six annotators generate value lists for two timely and important contexts: COVID-19 measures, and sustainable energy. Then, two policy experts and 52 crowd workers evaluate Axies value lists. We find that Axies yields values that are context-specific, consistent across different annotators, and comprehensible to end users.
"
Predictive Analytics for Smart Parking: A Deep Learning Approach in Forecasting of IoT Data,/doi/10.1145/3412842,"Nowadays, a sustainable and smart city focuses on energy efficiency and the reduction of polluting emissions through smart mobility projects and initiatives to “sensitize” infrastructure. Smart parking is one of the building blocks of intelligent mobility, innovative mobility that aims to be flexible, integrated, and sustainable and consequently integrated into a Smart City. By using the Internet of Things (IoT) sensors located in the parking areas or the underground car parks in combination with a mobile application, which indicates to citizens the free places in the different areas of the city and guides them toward the chosen parking, it is possible to reduce air pollution and fluidifying noise traffic. In this article, we present and discuss an innovative Deep Learning-based ensemble technique in forecasting the parking space occupancy to reduce the search time for parking and to optimize the flow of cars in particularly congested areas, with an overall positive impact on traffic in urban centres. A genetic algorithm has also been used to optimize predictors parameters. The main goal is to design an intelligent IoT-based service that can predict, in the next few hours, the parking spaces occupancy of a street. The proposed approach has been assessed on a real IoT dataset composed by over than 15M of collected sensor records. Obtained results demonstrate that our method outperforms both single predictors and the widely used strategy of the mean providing inherently robust predictions."
Energy-aware Machining Parameter Optimization Using Flower Pollination Algorithm,/doi/10.1109/SMC52423.2021.9659139,"Machining parameter optimization can be an effective way to reduce the energy consumption of machining processes and contribute to sustainable manufacturing. In this paper, the energy-aware machining parameter optimization problem is described and formulated. Based on the description and formula, an approach which considers multiple machining parameters including spindle speed, feed rate, depth of cut and width of cut simultaneously is developed. This approach consists of two key steps: modelling the energy consumed in the machining process and searching for the optimal machining parameters. In the modelling step, a hybrid modelling method which integrates regression and artificial neural networks (ANN) is developed to characterize the relationship between energy consumption and the machining parameters and obtain the energy consumption prediction model. In the searching step, an improved flower pollination algorithm (FPA) is presented to achieve the further searching for the optimal machining parameters with energy consideration. The approach has been tested and validated on multiple groups of experimental data. The results demonstrate that the approach can lead to a more accurate energy consumption prediction and an optimal solution for machining parameters."
Blockchain Based Energy Trade,/doi/10.1145/3491003.3494122,"
 In today’s world, there is a growing demand for intelligent applications to make city life an interesting experience and sustainable. This paper introduces a Blockchain based peer-to-peer transaction framework applicable for the distributed clean energy trade. The energy-trading model is designed to initiate transactions autonomously based on the data received from the energy management unit. The application works autonomously to manage the generation, consumption and distribution of clean energy using distributed renewable energy sources. The proposed Decentralized Autonomous transaction platform is an autonomous Blockchain-based peer-to-peer transaction framework that aims to increase clean energy production, consumption and optimization, which indeed will reduce greenhouse gas emissions in metro-cities where the excessive clean energy from the distributed energy sources, including homes, office buildings and factories are autonomously traded among the population inside the city. 
"
