,date,abstract,title,Unnamed: 0
115,"Volume 165, April 2021, 120557","Big data analytics and artificial intelligence (BDA-AI) technologies have attracted increasing interest in recent years from academics and practitioners. However, few empirical studies have investigated the benefits of BDA-AI in the supply chain integration process and its impact on environmental performance. To fill this gap, we extended the organizational information processing theory by integrating BDA-AI and positioning digital learning as a moderator of the green supply chain process. We developed a conceptual model to test a sample of data from 168 French hospitals using a partial least squares regression-based structural equation modeling method. The findings showed that the use of BDA-AI technologies has a significant effect on environmental process integration and green supply chain collaboration. The study also underlined that both environmental process integration and green supply chain collaboration have a significant impact on environmental performance. The results highlight the moderating role of green digital learning in the relationships between BDA-AI and green supply chain collaboration, a major finding that has not been highlighted in the extant literature. This article provides valuable insight for logistics/supply chain managers, helping them in mobilizing BDA-AI technologies for supporting green supply processes and enhancing environmental performance.",The impact of big data analytics and artificial intelligence on green supply chain process integration and hospital environmental performance,
116,"Volume 77, September 2017, Pages 297-317","The existence of sunlight, air and other resources on earth must be used in an appropriate way for human welfare while still protecting the environment and its living creatures. The exploitation of sunlight and air as a substantial Renewable Energy (RE) source is an important research and development domain over past few years. The present and future overtaking in RE mainly comprises of (i) the development of novel technology for optimum production from the available natural resources (ii) environmental awareness, and (iii) the better management and distribution system. Like other domains (food, health, accommodation, safety, etc.), Artificial Intelligence (AI) could assist in achieving the future goals of the RE. Statistical and biologically inspired AI methods have been implemented in several studies to achieve common and future aims of the RE. The present study summarizes the review of reviews and the state-of-the-art research outcomes related to wind energy, solar energy, geothermal energy, hydro energy, ocean energy, bioenergy, hydrogen energy, and hybrid energy. Particularly, the role of single and hybrid AI approaches in research and development of the previously mentioned sources of RE will be comprehensively reviewed.",Renewable energy: Present research and future scope of Artificial Intelligence,
117,"Volume 2, November 2020, 100029","Conventional refrigerants in air conditioners (A/Cs) although deliver localized comfort within dwellings, their overall detrimental impact on the environment is an alarming issue. This study investigates eco-friendly alternatives to the refrigerants R410A and R22 (which contribute to global warming and ozone depletion) through a comprehensive analysis of salient parameters such as coefficient of performance (COP), volumetric cooling capacity, and exergetic efficiency (Î·ex) featuring a sustainably retrofitted vapor compression based A/C. Diverse thermophysical properties of alternate refrigerants yield multiple options for contriving a sustainable A/C. Performance enhancement of the retrofitted system is then realized through a multifaceted genetic algorithm (GA) coupled with an artificial neural network (ANN). Subsequently, the incongruence of optimality between maximum system COP and maximum Î·ex is dealt by a dual ANN powered non dominated sorting genetic algorithm-2 (NSGA-2) optimizer which provides balanced output in terms of COP (4.37 for L20a and 4.238 for ARM71a refrigerant respectively) and Î·ex (26.208% for L20a and 25.413% for ARM71a refrigerant respectively). The artificial intelligence (AI) based approach helps comprehend the trade-off between different system performance indices (having different units/ranges of variation) during optimum design selection. Furthermore, the data-driven surrogate model reveals the dominating effect of energy performance over exergy performance of the system, urging for the higher priority of resource allocation for COP upgrade than Î·ex upgrade. Finally, the multi-objective optimization yields a broader set of Pareto optimal points which offer flexibility to the stakeholders to thrust the sustainable system towards higher COP or higher Î·ex mode of operation.",Designing a clean and efficient air conditioner with AI intervention to optimize energy-exergy interplay,
118,"Volume 410, 14 October 2020, Pages 237-270","Artificial intelligence and all its supporting tools, e.g. machine and deep learning in computational intelligence-based systems, are rebuilding our society (economy, education, life-style, etc.) and promising a new era for the social welfare state. In this paper we summarize recent advances in data science and artificial intelligence within the interplay between natural and artificial computation. A review of recent works published in the latter field and the state the art are summarized in a comprehensive and self-contained way to provide a baseline framework for the international community in artificial intelligence. Moreover, this paper aims to provide a complete analysis and some relevant discussions of the current trends and insights within several theoretical and application fields covered in the essay, from theoretical models in artificial intelligence and machine learning to the most prospective applications in robotics, neuroscience, brain computer interfaces, medicine and society, in general.","Artificial intelligence within the interplay between natural and artificial computation: Advances in data science, trends and applications",
119,"Volume 11, Issue 3, May 2020, Pages 739-744","Realistically predicting earthquake is critical for seismic risk assessment, prevention and safe design of major structures. Due to the complex nature of seismic events, it is challengeable to efficiently identify the earthquake response and extract indicative features from the continuously detected seismic data. These challenges severely impact the performance of traditional seismic prediction models and obstacle the development of seismology in general. Taking their advantages in data analysis, artificial intelligence (AI) techniques have been utilized as powerful statistical tools to tackle these issues. This typically involves processing massive detected data with severe noise to enhance the seismic performance of structures. From extracting meaningful sensing data to unveiling seismic events that are below the detection level, AI assists in identifying unknown features to more accurately predicting the earthquake activities. In this focus paper, we provide an overview of the recent AI studies in seismology and evaluate the performance of the major AI techniques including machine learning and deep learning in seismic data analysis. Furthermore, we envision the future direction of the AI methods in earthquake engineering which will involve deep learning-enhanced seismology in an internet-of-things (IoT) platform.","Artificial intelligence in seismology: Advent, performance and future trends",
120,"Volume 133, January 2020, Pages 169-182","Wastewater treatment is an important step for pollutant reduction and the promotion of water environment quality. The complexity of natural conditions, influent shock, and wastewater treatment technology result in uncertainty and variation in the wastewater treatment system. These uncertainties result in fluctuations in effluent water quality and operation costs, as well as the environmental risk of receiving waters. Artificial intelligence has become a powerful tool for minimizing the complexities and complications in wastewater treatment. In this study, we examine the literature from 1995 to 2019 to conduct a large-scale bibliometric analysis of trends in the application of artificial intelligence technology to wastewater treatment. Furthermore, we present a systematic review of four aspects of the application of artificial intelligence to wastewater treatment: technology, economy, management, and wastewater reuse. Finally, we provide perspectives on the potential future directions of new research frontiers in the utilization of artificial intelligence in wastewater treatment plants that simultaneously address pollutant removal, cost reduction, water reuse, and management challenges in complex practical applications.","Application of artificial intelligence to wastewater treatment: A bibliometric analysis and systematic review of technology, economy, management, and wastewater reuse",
121,"Volume 36, Issue 4, October 2019, 101392","To obtain benefits in the provision of public services, managers of public organizations have considerably increased the adoption of artificial intelligence (AI) systems. However, research on AI is still scarce, and the advance of this technology in the public sector, as well as the applications and results of this strategy, need to be systematized. With this goal in mind, this paper examines research related to AI as applied to the public sector. A review of the literature covering articles available in five research databases was completed using the PRISMA protocol for literature reviews. The search process yielded 59 articles within the scope of the study out of a total of 1682 studies. Results show a growing trend of interest in AI in the public sector, with India and the US as the most active countries. General public service, economic affairs, and environmental protection are the functions of government with the most studies related to AI. The Artificial Neural Networks (ANN) technique is the most recurrent in the investigated studies and was pointed out as a technique that provides positive results in several areas of its application. A research framework for AI solutions for the public sector is presented, where it is demonstrated that policies and ethical implications of the use of AI permeate all layers of application of this technology and the solutions can generate value for functions of government. However, for this, a prior debate with society about the use of AI in the public sector is recommended.",How and where is artificial intelligence in the public sector going? A literature review and research agenda,
122,"Volume 122, February 2021, 103517","With the extensive adoption of artificial intelligence (AI), construction engineering and management (CEM) is experiencing a rapid digital transformation. Since AI-based solutions in CEM has become the current research focus, it needs to be comprehensively understood. In this regard, this paper presents a systematic review under both scientometric and qualitative analysis to present the current state of AI adoption in the context of CEM and discuss its future research trends. To begin with, a scientometric review is performed to explore the characteristics of keywords, journals, and clusters based on 4,473 journal articles published in 1997â2020. It is found that there has been an explosion of relevant papers especially in the past 10 years along with the change in keyword popularity from expert systems to building information modeling (BIM), digital twins, and others. Then, a brief understanding of CEM is provided, which can be benefited from the emerging trend of AI in terms of automation, risk mitigation, high efficiency, digitalization, and computer vision. Special concerns have been put on six hot research topics that amply the advantage of AI in CEM, including (1) knowledge representation and reasoning, (2) information fusion, (3) computer vision, (4) natural language processing, (5) intelligence optimization, and (6) process mining. The goal of these topics is to model, predict, and optimize issues in a data-driven manner throughout the whole lifecycle of the actual complex project. To further narrow the gap between AI and CEM, six key directions of future researches, such as smart robotics, cloud virtual and augmented reality (cloud VR/AR), Artificial Intelligence of Things (AIoT), digital twins, 4D printing, and blockchains, are highlighted to constantly facilitate the automation and intelligence in CEM.",Roles of artificial intelligence in construction engineering and management: A critical review and future trends,
123,"Volume 295, 1 May 2021, 126427","Understanding the interactions of Industry 4.0 and sustainability is a cutting-edge research topic. The present study aims to contribute to this research topic by explaining how Industry 4.0 may contribute to energy sustainability. The present study performs a content-centric qualitative review of the extant digitalization literature to identify the primary energy sustainability functions of Industry 4.0. The interpretive structural modeling technique is further used for mapping the interrelationships among various energy sustainability functions identified. The interpretive model developed, and the Matrice dâImpacts CroisÃ©s Multiplication AppliquÃ©e Ã un Classement analysis offered exciting insights into the Industry 4.0-energy sustainability interactions. Findings show that Industry 4.0 promotes energy sustainability via a very complex mechanism that involves ten interrelated functions. Contrary to the general opinion, production efficiency offered by the digitalization of the manufacturing industry is not the immediate and most essential energy efficiency outcome of the digital industrial transformation. Industry 4.0 primarily contributes to energy sustainability by enabling the energy industry to reshape its operating landscape and enjoy more advanced, intelligent, and complicated energy production and distribution equipment. The digitalization of the energy demand sector, digitalization of the manufacturing industry, and the introduction of smarter and more sustainable products are among the main opportunities of Industry 4.0 for energy sustainability. Overall, the study and the ISM model of energy sustainability developed explains how Industry 4.0 contributes to energy sustainability via different functions and how each function is placed within the structural model based on its driving and dependence powers.",Industry 4.0 and opportunities for energy sustainability,
124,"Volume 70, April 2017, Pages 1108-1118","It is important for building owners and operators to manage the electrical energy consumption of their buildings. As electrical energy is the major form of energy consumed in a commercial building, the ability to forecast electrical energy consumption in a building will bring great benefits to the building owners and operators. This paper provides a review of the building electrical energy consumption forecasting methods which include the conventional and artificial intelligence (AI) methods. The significant goal of this study is to review, recognize, and analyse the performance of both methods for forecasting of electrical energy consumption. Compared to using a single method of forecasting, the hybrid of two forecasting methods can possibly be applied for more precise results. Regarding this potential, the swarm intelligence (SI) method has been reviewed to be hybridized with AI. Published literature presented in this paper shows that, the hybrid of SVM and SI methods has indeed presented superior performance for forecasting building electrical energy consumption.",Building electrical energy consumption forecasting analysis using conventional and artificial intelligence methods: A review,
125,"Volume 67, November 2021, 101780","The evolution of Artificial Intelligence (AI) has revolutionized many aspects of human life, including healthcare. Amidst the Covid-19 pandemic, AI-enabled smartwatches are being used to help users to self-monitor and self-manage their health. Using a framework based on Stimulus-Organism-Response (SâO-R) theory, this present study aimed to explore the use of AI-enabled smartwatches for health purposes, in particular the effects of product quality, service quality, perceived convenience, and perceived ease of use on user experience, trust and user satisfaction. Based on a purposive survey sample of 486 smartphone users in Bangladesh, data collected was analyzed using SPSS software for elementary analyses and PLS-SEM for hypotheses testing. The findings showed that the predictors, namely product quality, service quality, perceived convenience, and perceived ease of use, significantly affected user experience and trust. Similarly, user experience and trust were influential on user satisfaction and played partial mediating roles between predictors and user satisfaction. Besides, gender and age moderate the relationships of experience and trust with customer satisfaction. These findings support the SâO-R theoretical framework and have practical implications for brand and marketing managers of smartwatches in developing product features and understanding users' attitudes and behaviours.",Applied Artificial Intelligence and user satisfaction: Smartwatch usage for healthcare in Bangladesh during COVID-19,
126,"Volume 4, December 2020, 100006","Artificial Intelligence (AI) is playing a crucial role in advancing efforts towards sustainable development across the globe. AI has the potential to help address some of the biggest challenges that society faces including health and well-being. Thus, AI can be useful in addressing some health and well-being related challenges by accelerating the attainment of the UN's Sustainable Development Goal 3 (SDG3), namely Good health and well-being. This paper draws on the Organisation for Economic Co-operation and Development (OECD) Development Assistance Committee (DAC) list of Official Development Assistance (ODA) and the Price Waterhouse Coopers (PwC) SDG selector to identify the SDG that is prioritised in Least Developed Countries (LDCs). Out of 32 least developed African countries on the list, SDG3 was the most common SDG, suggesting that health and well-being is a priority for these countries. In order to understand the opportunities and challenges that might result in applying AI in the acceleration of SDG3, the paper uses a SWOT analysis to highlight some socio-ethical implications of using AI in advancing SDGS in the identified LDCs on the DAC list.",Socio-ethical implications of using AI in accelerating SDG3 in Least Developed Countries,
127,"Volume 314, 10 September 2021, 128017","Storage technologies such as the battery energy storage system are expected to play a critical role in micro-grids. However, current simulation tools underestimate their operating costs, which jeopardises their efficient use and deployment. This paper proposes a strategy based on artificial intelligence and time series prediction for the planning and real-time management of a battery energy storage system in a micro-grid acting as a virtual power plant. An economic analysis was performed, and the findings suggested that the state of charge should be managed to avoid economic losses due to cycle ageing. In addition, the battery should be sized correctly to ensure its economic viability, which indicates that it should be optimised according to the load profile of the micro-grid. The proposed management strategy was demonstrated to avoid the economic losses observed with a non-managed storage system. In addition, ensuring that the micro-grid did not deviate from the load profile agreed upon with the transmission system operator was found to increase economic returns, reduce battery degradation and increase self-consumption with the co-benefit of reducing micro-grid fluctuations.",Battery management for energy communitiesâEconomic evaluation of an artificial intelligence-led system,
128,"Volume 140, April 2021, 110755","In recent years, smart cities have emerged with energy conservation systems for managing energy in cities as well as buildings. Although many studies on energy conservation systems of smart homes have already been conducted, energy management at the city level is still a challenge due to the various building types and complex infrastructure. Therefore, this paper investigated the research themes on smart homes and cities through a quantitative review and identified barriers to the progression of smart homes to sustainable smart cities through a qualitative review. Based on the results of the holistic framework of each domain (smart home and city) and the techno-functional barriers, this study suggests that the following innovative solutions be suitably applied to advanced energy conservation systems in sustainable smart cities: (i) construction of infrastructure for advanced energy conservation systems, and (ii) adoption of a new strategy for energy trading in distributed energy systems. Especially, to reflect consumer behavior and energy in sustainable smart cities, the following responses to future research challenges according to the âbottom-up approach (smart home level to smart city level)â are proposed: (i) development of real-time energy monitoring, diagnostics and controlling technologies; (ii) application of intelligent energy management technologies; and (iii) implementation of integrated energy network technologies at the city level. This paper is expected to play a leading role as a knowledge-based systematic guide for future research on the implementation of energy conservation systems in sustainable smart cities.",A systematic review of the smart energy conservation system: From smart homes to sustainable smart cities,
129,"Volume 165, 1 October 2020, 112412","Artificial intelligence (AI) and wearable sensors are two essential fields to realize the goal of tailoring the best precision medicine treatment for individual patients. Integration of these two fields enables better acquisition of patient data and improved design of wearable sensors for monitoring the wearers' health, fitness and their surroundings. Currently, as the Internet of Things (IoT), big data and big health move from concept to implementation, AI-biosensors with appropriate technical characteristics are facing new opportunities and challenges. In this paper, the most advanced progress made in the key phases for future wearable and implantable technology from biosensing, wearable biosensing to AI-biosensing is summarized. Without a doubt, material innovation, biorecognition element, signal acquisition and transportation, data processing and intelligence decision system are the most important parts, which are the main focus of the discussion. The challenges and opportunities of AI-biosensors moving forward toward future medicine devices are also discussed.",Artificial intelligence biosensors: Challenges and prospects,
130,"Volume 95, November 2021, 106151","Despite the extensive published literature on the significant potential of artificial intelligence (AI) there are no reports on its efficacy in improving patient safety in robot-assisted surgery (RAS). The purposes of this work are to systematically review the published literature on AI in RAS, and to identify and discuss current limitations and challenges.",A systematic review on artificial intelligence in robot-assisted surgery,
131,"Volume 290, 5 July 2021, 123254","Giving the high amount of carbon and energy emission from the use of traditional building materials, the use of bio-composites made from industrial crops especially hemp has caught attention from researchers in recent years. These bio-composites not only enhance the thermal performance of buildings but also promote sustainable development due to their eco-friendly nature. Due to their highly heterogeneous nature, however, most of the existing studies on the bio-composites have only focused on experimental investigations, while mathematical modeling of physical, thermal and mechanical properties of bio-composite remains a challenge for the researchers. In this paper, an artificial intelligence (AI) based gene expression programming (GEP) technique is used to develop the mathematical models for predicting the dry density, compressive strength and thermal conductivity of hemp-based bio-composites. A large amount of database was established based on past studies and the most influential parameters were identified by several trial analyses. The proposed mathematical models showed a high correlation with the experimental results. All the models passed the statistical and performance index checks showing strong predictability, generalization capability and high accuracy of GEP-AI models. Comparison of results with the regression analysis techniques further proved the superiority of GEP-AI models over the traditional methods.",Evolutionary artificial intelligence approach for performance prediction of bio-composites,
132,"Volume 40, August 2021, 102811","Energy storage technology plays a role in improving new energy consumption capacities, ensuring the stable and economic operation of power systems, and promoting the widespread application of renewable energy technologies. Several new developments, ideas, approaches, and technologies have been introduced into this area from fields including materials, knowledge manage, electricity, control, and artificial intelligence. Based on the technical characteristics of renewable energy, this study reviews the roles, classifications, design optimisation methods, and applications of energy storage systems in power systems. First, we introduce the different types of energy storage technologies and applications, e.g. for utility-based power generation, transportation, heating, and cooling. Second, we briefly introduce the states of an energy storage system, along with its operation processes and energy storage capacity. Third, a comprehensive review is conducted on artificial intelligence applications in regards to optimisation system configuration, and energy control strategy, along with the applicability of different energy storage technologies. Finally, several issues and insights are discussed, offering new inspiration and concepts for the future study of integrated energy storage systems.",Integration of energy storage system and renewable energy sources based on artificial intelligence: An overview,
133,"Volume 2, Issue 12, 10 December 2021, 100381","Individuals from a diverse range of backgrounds are increasingly engaging in research and development in the field of artificial intelligence (AI). The main activities, although still nascent, are coalescing around three core activities: innovation, policy, and capacity building. Within agriculture, which is the focus of this paper, AI is working with converging technologies, particularly data optimization, to add value along the entire agricultural value chain, including procurement, farm automation, and market access. Our key takeaway is that, despite the promising opportunities for development, there are actual and potential challenges that African countries need to consider in deciding whether to scale up or down the application of AI in agriculture. Input from African innovators, policymakers, and academics is essential to ensure that AI solutions are aligned with African needs and priorities. This paper proposes questions that can be used to form a road map to inform research and development in this area.",Road map for research on responsible artificial intelligence for development (AI4D) in African countries: The case study of agriculture,
134,"Volume 89, June 2019, Pages 80-91","Cities are increasingly turning towards specialized technologies to address issues related to society, ecology, morphology and many others. The emerging concept of Smart Cities highly encourages this prospect by promoting the incorporation of sensors and Big Data through the Internet of Things (IoT). This surge of data brings new possibilities in the design and management of cities just as much as economic prospects. While Big Data processing through Artificial Intelligence (AI) can greatly contribute to the urban fabric, sustainability and liveability dimensions however must not be overlooked in favour of technological ones. This paper reviews the urban potential of AI and proposes a new framework binding AI technology and cities while ensuring the integration of key dimensions of Culture, Metabolism and Governance; which are known to be primordial in the successful integration of Smart Cities for the compliance to the Sustainable Development Goal 11 and the New Urban Agenda. This paper is aimed towards Policy Makers, Data Scientists and Engineers who are looking at enhancing the integration of Artificial Intelligence and Big Data in Smart Cities with an aim to increase the liveability of the urban fabric while boosting economic growth and opportunities.","On big data, artificial intelligence and smart cities",
135,"Volume 214, 15 June 2020, 112909","With the world-wide deployment of solar energy for a sustainable and renewable future, the stochastic and volatile nature of solar power pose significant challenges to the reliable, economic and secure operation of electrical energy systems. It is therefore imperative to improve the prediction accuracy of solar power to prepare for the unknown conditions in the future. So far, artificial intelligence (AI) algorithms such as machine learning and deep learning have been widely-reported with competitive prediction performance because they can reveal the invariant structure and nonlinear features in solar data. However, these reports have not been fully reviewed. Accordingly, this paper provides a taxonomy research of the existing solar power forecasting models based on AI algorithms. Taxonomy is a process of systematically dividing solar energy prediction methods, optimizers and prediction frameworks into several categories based on their differences and similarities. We also present the challenges and potential future research directions in solar power forecasting based on AI algorithms. This review can help scientists and engineers to theoretically analyze the characteristics of various solar prediction models, thereby helping them to select the most suitable model in any application scenario.",Taxonomy research of artificial intelligence for deterministic solar power forecasting,
136,"Volume 53, February 2020, 101954","With recent advances in artificial intelligence (AI), built environment (BE) is getting more and more closely linked to energy. A macroscopic view of smart energy (SE) and smart built environment (SBE) is provided in this paper. Categories of smart energy systems (SESs) are divided according to the trade forms. Objectives of SBE include minimizing non-renewable energy to maintain sustainable BE, minimizing carbon exhausted to guarantee green BE, and minimizing capital cost to provide economically affordable BE. The transient fraction of power (FP) in SESs has to be controlled to obtain the optimal fraction of energy (FE). The optimal FE values depend not only on system size and time scales but also on SBE objectives. A weighted maximum volume criterion is proposed to take sustainability, green, and affordability into account. Results are compared with those optimization results based on a single objective. Methodologies for promotion of SESs from technology, system optimization, demand forecasting, and holistic design views are presented. The corresponding solution for SBE is illustrated. Challenges for future SESs for SBE are also discussed.",Smart energy for smart built environment: A review for combined objectives of affordable sustainable green,
137,"Volume 63, December 2020, 102002","This study empirically analyzes the effects of artificial intelligence (AI) on electric vehicle technology innovation by employing a machine learning-based text mining model and the international patent classification (IPC) co-occurrence network analysis, using patent data filed from 1980 to 2017. Based on artificial intelligence algorithms classified, the study demonstrates the dynamic changing pattern of the convergence of artificial intelligence and electric vehicle technology and reveals how artificial intelligence has affected electric vehicle technology innovation over time. This study reveals that artificial intelligence accelerates the automation of electric vehicle driving, and that artificial intelligence algorithms that are widely used in electric vehicles have changed over time, and that technology areas of electric vehicles that AI affects also have been changed.",An analysis of the effects of artificial intelligence on electric vehicle technology innovation using patent data,
138,"Volume 11, September 2021, 100127","Artificial intelligence (AI) and big data solutions are currently being utilized to offer low cost and efficient solutions in solving pressing urban socio-economic and environmental problems globally. The study found big data and AI have the potentiality to solve the common urban problems in South Asia and upsurge the efficiency of urban industries, increase competitiveness and productivity of the human and natural resources, reduce the cost of urban service delivery, and build climate resilience. The study has assessed the current AI and big data initiatives and technologies in mitigating the urban development challenges and their potentiality for scaling up in South Asian cities. The study also examined the latest innovations in AI and big data solutions for SDG monitoring and implementation in South Asia and their implication for transformational change. The study suggested that South Asia can harness the maximum benefit of AI and big data technologies by building big data and associated IT infrastructure, advancing research and innovations with regional cooperation, enhancing technological readiness, and eliminating week enabling conditions.",Harnessing artificial intelligence and big data for SDGs and prosperous urban future in South Asia,
139,"Volume 297, 15 May 2021, 126536","We investigated the applications of artificial intelligence (AI) algorithms in wind power technology changes over time and found that AI accelerates the automation of wind power systems. This study shows evidence of the evolution of wind technology innovation following the advancement in AI algorithms using the patents data issued in four intellectual property (IP) offices from 1980 through 2017. Artificial intelligence and more advanced data analytics can be effectively applied to increase the efficiency of wind power systems and to optimize wind farm operations. This study empirically analyzes the evolution of applications of AI algorithms in wind power technology by employing machine learning-based text mining and network analysis, demonstrating the dynamic changing pattern of applications of AI algorithms in wind power technology innovation.",An empirical analysis of applications of artificial intelligence algorithms in wind power technology innovation during 1980â2017,
140,"Volume 44, April 2021, 101004","The effective monitoring of network node energy consumption can improve the life of the node. In order to save energy consumption, this paper proposes an artificial intelligence-based internet of things control method, based on the internet of things information transmission topology structure, analyse the total energy consumption of the node during transmission, and obtain the load in each communication cycle, based on which the average energy consumption of each node is calculated, apply artificial intelligence control methods, make full use of the information on the sensor node, and establish artificial intelligence information fusion model to study the energy consumption control of multiple and single transmission path nodes, thereby designing the control process, realizing the monitoring and optimization of the energy consumption of mobile node resources in the internet of things network, and improving the resource scheduling and energy consumption of network mobile nodes configuration capabilities to achieve node energy consumption reliability monitoring. The simulation results show that the method used for real-time monitoring of network mobile node resource energy consumption is better, the reliability of the monitoring output is higher, and the detection results are accurate, which has a positive impact on improving network performance.",Real-time energy consumption detection simulation of network node in internet of things based on artificial intelligence,
141,"Volume 7, Issue 11, 11 November 2021, Pages 2866-2882","Modern chemistry is the backbone of our society, but it is also a major contributor to global environmental pollution and the ongoing climate crisis. The transition toward a sustainable future requires a radical transformation of how chemistry is designed, developed, and used. This represents a âbreak it or make itâ challenge for the chemical industry with significant technology lock-in and high entry barriers to radical innovations. We propose that urgently required systemic changes in chemical industry, research and development (R&D), chemicals assessment and management, and education to advance sustainable chemistry are attainable through increased and more rapid adoption of digitalization and new digital tools. This will enable flexible data exchange, increased transparency of information flows along cross-country chemical, material, and product life cycles, and chemistries that are safe and sustainable by design, addressing the complexity of chemicals-environment-health interactions and lowering the costs of entry into chemical R&D and manufacture, and new, more sustainable and collaborative business models.",Transition to sustainable chemistry through digitalization,
142,"Volume 427, 15 February 2021, 110053","We developed a novel data-driven Artificial Intelligence-enhanced Adaptive Time Stepping algorithm (AI-ATS) that can adapt timestep sizes to underlying biophysical dynamics. We demonstrated its values in solving a complex biophysical problem, at multiple spatiotemporal scales, that describes platelet dynamics in shear blood flow. In order to achieve a significant speedup of this computationally demanding problem, we integrated a framework of novel AI algorithms into the solution of the platelet dynamics equations. Our framework involves recurrent neural network-based autoencoders by the Long Short-Term Memory and the Gated Recurrent Units as the first step for memorizing the dynamic states in long-term dependencies for the input time series, followed by two fully-connected neural networks to optimize timestep sizes and step jumps. The computational efficiency of our AI-ATS is underscored by assessing the accuracy and speed of a multiscale simulation of the platelet with the standard time stepping algorithm (STS). By adapting the timestep size, our AI-ATS guides the omission of multiple redundant time steps without sacrificing significant accuracy of the dynamics. Compared to the STS, our AI-ATS achieved a reduction of 40% unnecessary calculations while bounding the errors of mechanical and thermodynamic properties to 3%.",Artificial intelligence for accelerating time integrations in multiscale modeling,
143,"Volume 194, September 2020, 108912","Ultrasonic welding is a joining technology suitable for carbon-fiber-reinforced thermoplastic (CFRTP) components because of its high throughput, and ease of automation. An effective online weld-quality inspection technology can promote the industrial application of ultrasonic composite welding. Literature focused on the quality inspection of ultrasonic composite welding is scarce. To address this, the present study proposes an online weld-quality inspection method for ultrasonic composite welding by combining artificial intelligence (AI) technologies with welding process signatures. The failure load in a tensile-shear test and the weld quality level (i.e., under weld, normal weld, and over weld) are predicted simultaneously using artificial neural network (ANN) and random forest (RF) models. Eight features consisting of the duration and energy at each welding stage are extracted from the process signatures as independent variables. The results indicate that both the ANN and RF models exhibit high prediction accuracies. The weld quality can be assessed comprehensively and reasonably by considering both the failure load and weld quality level. The findings of this study demonstrate the feasibility of online weld-quality inspection for ultrasonic composite welding.",Online quality inspection of ultrasonic composite welding by combining artificial intelligence technologies with welding process signatures,
144,"Volume 7, Issue 7, July 2021, e07455","The lock down engendered by COVID-19 pandemic has impacted positively on the environment through reduction of the emissions of green house gases, CO2, CO and other pollutants into the atmosphere below the pre-COVID-19 levels. There are fears that the gains made in the environment during COVID-19 may be frittered away as nations around the world make serious efforts to boost the COVID-19 recessed economy through massive investments in the sectors of the economy that are not environmentally friendly. This paper emphasizes on the essence of maintaining the COVID-19 pandemic era environmental impact levels in post COVID-19 era without retarding the efforts towards economic recovery. World health organization (WHO) data from six regions between April and August 2020 was evaluated. Emission levels during the COVID-19 lockdown were reviewed. The global renewable energy potentials were ascertained. The paper suggests that investment in renewable energy resources for various countriesâ energy needs will help sustain the green and clean environment created by the COVID-19 lockdown even after COVID-19 era lockdown. Also, building large scale and distributed energy storage infrastructure and application of artificial intelligence would ensure security of energy supply and handle unstable nature of solar and wind energy. The COVID-19 lockdown significantly reduced air pollution. The application of biofuels to generate energy and power was found to significantly reduce air pollutant emissions similar to COVID-19 lockdown.",Sustaining COVID-19 pandemic lockdown era air pollution impact through utilization of more renewable energy resources,
145,"Volume 84, June 2021, 105887","Triboelectric nanogenerator based sensor has excellent material compatibility, low cost, and flexibility, which is a unique candidate technology for artificial intelligence. Triboelectric nanogenerators effectively provide critical infrastructure for new generation of sensing systems that collect information by large amounts of self-powered sensors. This review mainly discusses capability and prospect of triboelectric nanogenerators being applied to intelligent sports, security, touch control, and document management systems. The above fields have paid increasing attention in artificial intelligence technologies, such as machine learning, big data processing and cloud computing, demanding huge amount of sensors and complicated sensors network.",Triboelectric nanogenerator based self-powered sensor for artificial intelligence,
146,"Volume 794, 10 November 2021, 148539","Digitalization provides access to an integrated network of unexploited big data with potential benefits for society and the environment. The development of smart systems connected to the internet of things can generate unique opportunities to strategically address challenges associated with the United Nations Sustainable Development Goals (SDGs) to ensure an equitable, environmentally sustainable, and healthy society. This perspective describes the opportunities that digitalization can provide towards building the sustainable society of the future. Smart technologies are envisioned as game-changing tools, whereby their integration will benefit the three essential elements of the food-water-energy nexus: (i) sustainable food production; (ii) access to clean and safe potable water; and (iii) green energy generation and usage. It then discusses the benefits of digitalization to catalyze the transition towards sustainable manufacturing practices and enhance citizens' health wellbeing by providing digital access to care, particularly for the underserved communities. Finally, the perspective englobes digitalization benefits by providing a holistic view on how it can contribute to address the serious challenges of endangered planet biodiversity and climate change.",Digitalization to achieve sustainable development goals: Steps towards a Smart Green Planet,
