Unnamed: 0,title,abstract,year,processed_abstract
170,Dual-Driven Resource Management for Sustainable Computing in the Blockchain-Supported Digital Twin IoT,"Nowadays, emerging sixth-generation (6G) mobile networks, the Internet of Things (IoT), and mobile-edge computing (MEC) technologies have played significant roles in developing a sustainable computing network. In sustainable computing networks, with the increasing scale of data-driven applications, massive privacy-sensitive data are generated. How to effectively process such data on resource-limited IoT devices is challenging. Although edge intelligence (EI) is designed to maintain an appropriate level of ultradelay reliability, low-latency communication (URLLC), real-time data processing, and security and privacy are concerning. In this article, we propose a novel blockchain-supported hierarchical digital twin IoT (HDTIoT) framework, which combines the digital twin to edge network and adopts blockchain technology to achieve secure and reliable real-time computation. We first propose a data and knowledge dual-driven learning solution to ensure real-time interaction and efficient optimization between the physical and the digital worlds. To improve communication and computation efficiency with data and knowledge dual-driven learning, the optimization goal is to minimize the system delay and energy consumption and ensure system reliability and the learning accuracy of IoT devices. Moreover, we propose a proximal policy optimization (PPO)-based multiagent reinforcement learning (MARL) algorithm to solve the resource allocation (RA) problem. Experimental results show that the proposed RA scheme can improve the efficiency of the HDTIoT system, guarantee learning accuracy, reliability, and security, and make a balance between system delay and energy consumption.",2022,iot computing roles computing computing data data iot edge ei ultradelay reliability communication urllc data security propose digital twin iot hdtiot digital twin edge computation propose data knowledge learning ensure optimization digital worlds communication computation data knowledge learning optimization system delay ensure system reliability learning accuracy iot propose proximal optimization ppo multiagent learning marl ra ra hdtiot system learning accuracy reliability security system delay
171,A Machine Learning Approach Applied to Energy Prediction in Job Shop Environments,"Energy efficiency has become a great challenge for manufacturing companies. Although it is possible to improve efficiency applying new and more efficient machines, decision makers tend to look for some less expensive alternatives. In this context, the adoption of more efficient strategies during the production planning can allow the reduction in energy consumption and associated emissions. Furthermore, the current reality of manufacturing companies, brought by Industry 4.0 concepts, requires more flexibility of production systems, thus, increasing complexity for machine rescheduling without compromising sustainable requirements. In this paper, we propose a method to predict total energy consumption in job shop systems applying machine learning techniques. Different schedules may result in different consumption rates. However, there is a nonlinear relationship between these targets. Therefore, an Artificial Neural Network (ANN) is applied for a quick estimation of total energy consumption. In order to validate the model, computational experiments, using digital manufacturing software tools, are performed on different job shop configurations to show the efficiency of the proposed model.",2018,efficiency manufacturing companies efficiency applying efficient makers tend look expensive alternatives efficient production consumption manufacturing companies production rescheduling compromising total consumption job shop applying different schedules different consumption quick total consumption manufacturing different job shop configurations efficiency
172,"Design and Development of a Short-Term Photovoltaic Power Output Forecasting Method Based on Random Forest, Deep Neural Network and LSTM Using Readily Available Weather Features","Renewable energy sources (RES) are an essential part of building a more sustainable future, with higher diversity of clean energy, reduced emissions and less dependence on finite fossil fuels such as coal, oil and natural gas. The advancements in the renewable energy sources domain bring higher hardware efficiency and lower costs, which improves the likelihood of wider RES adoption. However, integrating renewables such as photovoltaic (PV) systems in the current grid is still a major challenge. The main reason is the volatile, intermittent nature of RES, which increases the complexity of the grid management and maintenance. Having access to accurate PV power output forecasting could reduce the number of power supply disruptions, improve the planning of the available and reserve capacities and decrease the management and operational costs. In this context, this paper explores and evaluates three Artificial Intelligence (AI) methods - random forest (RF), deep neural network (DNN) and long short-term memory network (LSTM), which are applied for the task of short-term PV output power forecasting. Following a statistical forecasting approach, the selected models are trained on weather and PV output data collected in Berlin, Germany. The assembled data set contains predominantly broadly accessible weather features, which makes the proposed approach more cost efficient and easily applicable even for geographic locations without access to specialized hardware or hard-to-obtain input features. The performance achieved by two of the selected algorithms indicates that the RF and the DNN models are able to generate accurate solar power forecasts and are also able to handle sudden changes and shifts in the PV power output",2022,res higher higher hardware costs res pv res access accurate pv power output forecasting power costs rf dnn pv output power forecasting forecasting selected weather pv output weather features access hardware features selected rf dnn able accurate power able pv power output
173,Smart Kitchen: Real Time Monitoring of Kitchen through IoT,"As per the report of a media agency by Midshare in Britain, Smart Kitchen is the need of the present and future. The kitchen, as the most important room in the house, requires extra protection. Existing kitchen technology must be upgraded and enhanced in terms of safety, cost, accessibility, and sustainability. The goal of this study is to show that a Smart Kitchen may be created using Ambient Assisted Living (AAL). At present we are only limited to smart TV, smartphone, tablet, laptop, and desktop computers in our room. In the future, when we would be shifting towards smart cities then at that time smart kitchens will play an important role, and they will contribute a lot to make the smart city possible. Digital technologies such as the internet of things (IoT), artificial intelligence (AI), and cloud computing will be used to implement this system. It also deals with the use of a renewable source of energy to power up in case of commercial power failure or shut down. This paper also presents the solution to the various kind of kitchen problems like gas leakage, sudden fire, excessive smoke, and sudden temperature rise. The status of these parameters will be displayed to the user on a real-time basis. It can be generalized by interfacing the various kind of sensors with Node MCU which will monitor the entire parameter of the kitchen and the status will be displayed in organic led using the graphical user interface (GUI) and it can be controlled using a wireless sensor network (WSN); as Node MCU has in-build Wi-Fi technology that can be connected to a mobile application like Blynk and the user can visualize every bit of information with the current status. It's based on the Open Services Gateway initiative, which allows you to build a complicated system out of simple modules that deliver services ranging from wide-area networks to local area networks.",2022,smart kitchen kitchen room kitchen smart kitchen smart room smart smart smart kind kitchen like sudden sudden status displayed user kind node mcu kitchen status displayed user node mcu like user status
174,Power System Decarbonization and Electrical Vehicles,"Decarbonization of power systems represents the main tool of energy transition and sustainable development. Faced with many challenges, decarbonization of power systems needs the application of new technologies for production and energy storage, advanced optimization algorithms and artificial intelligence algorithms for system operation and control, as well as the utilization of all available balancing resources, especially at the distribution level by activating consumers and distributed resources. This paper gives an overview of the current state of decarbonization process in the world, including CO2 emission, electricity consumption rise, the rapid growth of electric vehicle sales and changes in power systems needed for their utilization.",2022,decarbonization power systems represents tool transition faced decarbonization power systems utilization balancing resources especially activating consumers resources gives overview state decarbonization emission rise vehicle sales changes power systems needed utilization
175,Machine Learning based Forecasting of Wind Power,"The energy demand has been increased many times due to rapid industrial growth in recent years. So, there is a need of new sustainable energy resources. Wind energy is one of renewable energy resource that is used for electricity generation nowadays. Forecasting of wind energy is very crucial in proper scheduling for storage of generated wind power. Time series forecasting is one of methods which is widely used to predict the future values. In this paper, we propose a wind power forecasting methodology using machine learning algorithms in single as well as stacking approach. In the proposed method, stacking approach involves five machine learning algorithms in the first step and one algorithm in the final s tep. L ag f eatures, w ind r elated features along with the date and time features are used as input features. We have tested the perforamnce of the proposed method on the real dataset. The test results show that machine learning algorithms can perform well for wind power forecasting while stacking of algorithms improved the performance of the models.",2021,wind one used forecasting wind proper wind power time forecasting one used wind power forecasting machine well stacking approach method stacking approach machine one final tep ag eatures ind elated features date time features used features perforamnce method machine well wind power forecasting stacking
176,Joint Subcarrier and Transmission Power Allocation in OFDMA-Based WPT System for Mobile-Edge Computing in IoT Environment,"Mobile-edge computing (MEC) is expected to play an important role in the next-generation of Internet-of-Things (IoT) services with artificial intelligence (AI) by providing the sustainable computation capability of resource-constrained IoT devices. Since the finite battery lifetime has been a longstanding challenge of the MEC system for IoT services, the wireless power transfer (WPT) technology has been recently developed for the MEC system in order to support the perpetual operation of IoT devices. In this article, we introduce two resource allocation problems for OFDMA-based WPT-MEC systems: 1) a max–min energy fairness (MMEF) problem and 2) a power sum maximization (PSM) problem. These problems ensure high-performance computations for AI-based applications, where the network reliability and the tremendous power consumption may be required. Moreover, we incorporate a logarithmic nonlinear energy harvesting (EH) model into our formulated problems, which lead to nonconvex mixed-integer nonlinear programming (MINLP) problems. In order to resolve these NP-hard problems, we convert the proposed problems into their equivalent convex forms by applying the continuous relaxation method. The near-optimal solutions are thereby obtained in closed-form expressions by leveraging the Lagrangian duality method for each relaxed problem. Numerical results are presented to validate the merits of the proposed algorithms of MMEF&PSM over the alternative benchmark algorithm and provide significant insights on the effects of the key system parameters, including the number of IoT devices and power transmission subcarriers.",2021,mec iot services iot devices finite longstanding mec iot services power wpt mec order perpetual iot devices problems mmef problem power sum maximization psm problem problems power logarithmic nonlinear problems nonconvex nonlinear minlp problems order problems convert problems equivalent convex relaxation method expressions lagrangian duality method relaxed problem merits mmef psm iot devices power subcarriers
177,A Survey on Temperature Monitoring and Control Mechanism of Public Building Using Machine Learning,"Temperature is an important variable of HVAC system installed in usually most of the public buildings. Public buildings require appropriate and sustainable heating and cooling to address the challenges posed by the demand for human comfort at one hand and that of energy conservation on the other. With increasing number of public building and availability of large volume of building temperature data an endeavor is seen by the researcher towards the data analysis using emerging Machine learning techniques to understand energy consumption and to design energy efficient building. Machine leaning techniques yet to achieve maturity to the extent that this techniques may provide precise understanding and prediction of temperature status in a building. A systematic literature survey of relevant literatures published during 2010 to 2018 is being undertaken to understand the applicability in monitoring, controlling and predicting the building temperature. Questionnaires following a research protocol were developed and the insights in form of answer to the identified questions on the basis of critical analysis of shortlisted literatures was procured. This insights may be used to develop domain specific necessary guidelines towards framing the proposed and future research work.",2019,temperature installed public buildings public buildings posed public building building temperature endeavor researcher towards analysis techniques understand building leaning techniques maturity extent techniques may temperature building literatures published undertaken understand building temperature questionnaires insights answer questions analysis shortlisted literatures procured insights may towards framing
178,Energy-Efficient Federated Learning Over UAV-Enabled Wireless Powered Communications,"Since the invention in 2016, federated learning (FL) has been a key concept of artificial intelligence, in which the data of FL users needs not to be uploaded to the central server. However, performing FL tasks may not be feasible due to the unavailability of terrestrial communications and the battery limitation of FL users. To address these issues, we make use of unmanned aerial vehicles (UAVs) and wireless powered communications (WPC) for FL networks. In order to enable sustainable FL solutions, the UAV equipped with edge computing and WPC capabilities is deployed as an aerial energy source as well as an aerial server to perform FL tasks. We propose a joint algorithm of UAV placement, power control, transmission time, model accuracy, bandwidth allocation, and computing resources, namely energy-efficient FL (E2FL), aiming at minimizing the total energy consumption of the aerial server and users. The E2FL overcomes the original nonconvex problem by an efficient algorithm. We show that sustainable FL solutions can be provided via UAV-enabled WPC through various simulation results. Moreover, the outperformance of E2FL in terms of energy efficiency over several benchmarks emphasizes the need for a joint resource allocation framework rather than optimizing a subset of optimization factors.",2022,invention fl fl users uploaded server fl tasks communications fl users aerial communications wpc fl fl uav wpc aerial aerial server fl tasks joint uav allocation fl aerial server users overcomes fl wpc outperformance joint allocation
179,"ML Self-Sufficient Sustainable Energy Resiliency Management System: Outage Forecasting, Classification and Restoration with Maintenance Indicators for All Types of Power Outages","Power systems resiliency studies focus largely on operational planning, optimization, and control strategies to restore critical loads, after blackouts from extreme incidents, and natural disasters, which characterize high-impact, low-probability events. There is a lacuna of resiliency studies of other events, including blackouts with high-impact, high-probability, which classify technical faults. However, the highest percentage of blackouts are from equipment failure technical related faults. Few ML studies cover both outage forecasting and restoration, including resiliency methods for all types of power outages. This study presents a resiliency management system framework, incorporating maintenance indicators, for all types of outages from different events, particularly in developing countries, where up to 60% of blackouts are technical related. A novel framework, with machine learning classification and regression is applied. The model is validated with real historic load flows and outage interruptions of four Nigeria states. Results reveal complex multiple power outages due to different causes at different locations. A relay target indication of 91.8%, an outage type classification accuracy of 85%, and a start time regression (R) value of one, signify that the onset of all types of power outages can be predicted accurately, including indication of maintenance targets where self-sufficient, sustainable energy resources can be applied to enhance power system resilience.",2022,power resiliency studies blackouts events resiliency studies events including blackouts technical faults blackouts technical related faults studies outage including resiliency types power outages resiliency maintenance types outages different events blackouts technical related classification regression applied outage power outages different different indication outage classification regression types power outages including indication maintenance applied power
180,Applying Machine Learning Concepts to Enhance the Smart Grid Engineering Process,"The expansion of renewable energy sources, as an effort to reduce global warming and to guarantee a sustainable energy supply, forces the electrical energy systems into enhanced complexity through new requirements, actors, technological approaches or business models. This complexity is also noticed in the smart grid engineering process, resulting in increasing effort and costs. By applying machine learning concepts on the engineering process it is possible to decrease the work-effort and minimize tedious and error prone manual tasks. This work introduces three machine learning concepts and shows how they can improve the smart grid engineering process by applying a clustering approach to give recommendations of standards that are useful for the developed use case. According to their implementation-feasibility an evaluation based on the state-of-the-art is pursued. Furthermore, a tool prototype indicates current and future application possibilities of machine learning in the smart grid engineering process.",2019,expansion effort guarantee forces complexity actors complexity noticed smart grid engineering process resulting effort applying machine concepts engineering process tedious prone manual machine concepts smart grid engineering process applying clustering give recommendations standards pursued indicates machine smart grid engineering process
181,Power Quality Event Detection Using FAWT and Bagging Ensemble Classifier,"Maintaining a smooth power supply is mandatory for sensitive equipment like medical devices, sophisticated computing machines, etc. Sporadic variations in voltages, voltage sags, voltage harmonics, short period shortage in voltages and temporary incidents introduce disturbances in voltages. The performance of electrical power networks significantly influences by these random and dynamic events which can cause some problems in obtaining sustainable energy supply. The identification of the disturbances affecting the power quality and the fast interpretation of them are considered as the significant tasks when addressing these disturbances. Those disturbances usually are associated with the integration of generators that are operated by renewable energy, and any non-linear features caused from the connected load. Especially in DC microgrids there exist a high number of renewable energy sources, energy efficient loads and energy storage systems. Hence the hybrid power system, that incorporates the renewable energy sources into the utility networks, postures challenges concerning the power quality. Therefore, power quality disturbance detection is a critical task for a resilient and sustainable smart grid. Different time-frequency based approaches will be employed for power quality detection and grid synchronization of renewable energy sources. This paper will focus on three main modules. The efficient signal acquisition/processing, features extraction, and classification. Voltage signals are decomposed using Flexible Analytic Wavelet Transform (FAWT) to extract features and machine learning algorithms are used to detect the power quality disturbances related to different events during the integration of renewable energy sources. In this study, real-time power signal waveform recordings are classified, and 95.33% accuracy is achieved by Bagging with rotation forest ensemble classifier.",2019,power supply voltages voltage voltage voltages disturbances voltages power events supply disturbances power quality disturbances disturbances features sources power sources power quality power quality detection power quality detection sources signal features voltage features power quality disturbances events sources power signal
182,A review of CNN accelerators for embedded systems based on RISC-V,"One of the great challenges of computing today is sustainable energy consumption. In the deployment of edge computing this challenge is particularly important considering the use of embedded equipment with limited energy and computation resources. In those systems, the energy consumption must be carefully managed to operate for long periods. Specifically, for embedded systems with machine learning capabilities in the Internet of Things (EMLIoT) era, the convolutional neural networks (CNN) model execution is energy challenging and requires massive data. Nowadays, high workload processing is designed separately into a host processor in charge of generic functions and an accelerator dedicated to executing the specific task. Open-hardware-based designs are pushing for new levels of energy efficiency. For achieving energy efficiency, open-source tools, such as the RISC-V ISA, have been introduced to optimize every internal stage of the system. This document aims to compare the EMLIoT accelerator designs based on RISC-V and highlights open topics for research.",2022,computing computing embedded carefully managed periods embedded emliot convolutional cnn execution workload separately host processor charge generic accelerator dedicated executing designs pushing isa every internal document compare emliot accelerator designs highlights topics
183,Rapid Topology Generation and Core Mapping of Optical Network-on-Chip for Heterogeneous Computing Platform,"The explosive growth of deep learning (DL)-based artificial intelligence (AI) applications necessitates extraordinary computing capabilities that cannot be achieved using traditional CPU standalone computing. Therefore, the heavy mission-critical DL kernel computing currently relies on a heterogeneous computing (HGC) platform integrated with CPUs, GPUs, and accelerators, as well as substantial data storage elements. However, the metallic electrical interconnection in the existing manycore platform would not be sustainable for handling the massively increasing bandwidth demand of big data driven AI applications. Incorporating an optical network-on-chip (ONoC) for providing ultrahigh bandwidth, we propose a rapid topology generation and core mapping of ONoC (REGO) for energy-efficient HGC multicore architecture. The genetic algorithm (GA)-based REGO utilizes the structural characteristics of the optical router to the fitness function and thus compromises the trade-off between the required throughput, optical signal-to-noise ratio (OSNR), and total energy consumption. Furthermore, the crossover step accelerates the convergence speed by suppressing randomness in the GA, thus significantly reducing excessive running time owing to the NP-hard property. The generated ONoC through REGO demonstrates, on an average, an increase of 63.29 % and 22.80 % in throughput and a decrease of 50.24 % and 9.56 % in energy per bit, in the VGG-16 and VGG-19 compared with the conventional mesh- and torus-topology-based ONoCs, respectively.",2021,explosive dl necessitates computing cpu standalone computing heavy dl computing computing hgc platform metallic manycore platform massively bandwidth optical onoc ultrahigh bandwidth onoc rego hgc multicore ga rego optical router fitness thus compromises throughput optical osnr crossover accelerates suppressing randomness ga thus excessive property onoc rego throughput onocs
184,A gamified platform for energy feedback and usage forecasting,"The current energy consumption behaviour of mankind is causing results that are more catastrophic than just draining the resources of Earth. These results can be seen in the global warming and environmental damage in many places. All these problems serve as an indication for the need of a better conservative and sustainable behaviour. Based on the observed value of both feedback and serious games in such an issue, an attempt was made to combine these two elements together. The work presented in this paper presents the procedure of building a gamified energy feedback platform. In addition, a forecasting algorithm based on machine learning techniques was implemented in order to predict the future energy usage of the user.",2017,behaviour mankind causing results catastrophic draining earth results seen warming damage places serve indication conservative behaviour based observed value feedback serious games issue attempt made combine elements together procedure gamified feedback based implemented
185,A Process-Variation Robust RRAM-Compatible CMOS Neuron for Neuromorphic System-on-a-Chip,"Emerging nonvolatile memory (NVM) devices are being intensely researched to realize energy-sustainable hardware for Edge-Artificial Intelligence applications. Mixed-Signal neuromorphic computing paradigm aims to leverage these NVMs to perform artificial neural network (ANN) computations inside high-density memory arrays in analog domain resulting in significant energy efficiency gain over digital realizations. While the challenges of variability, resolution, retention, and endurance of RRAM devices are being addressed, only meagre attention has been paid to the active neuron circuits that drive the memory arrays. While a CMOS neuron needs to drive a large fan-out of resistive devices with very low quiescent current, CMOS process variability can affect the overall neural network performance. In this work, the effects of process-induced variations are analyzed for RRAM-compatible CMOS neurons and a novel design is presented to mitigate these effects and allow low-power inference.",2020,nonvolatile memory nvm devices intensely researched neuromorphic leverage nvms neural network computations inside memory arrays analog resulting gain realizations variability resolution retention endurance rram devices addressed meagre paid neuron circuits drive memory arrays cmos neuron drive resistive devices quiescent cmos variability neural network effects variations cmos neurons mitigate effects inference
186,"IoT Vulnerability Assessment for Sustainable Computing: Threats, Current Solutions, and Open Challenges","Over the last few decades, sustainable computing has been widely used in areas like social computing, artificial intelligence-based agent systems, mobile computing, and Internet of Things (IoT). There are social, economic, and commercial impacts of IoT on human lives. However, IoT nodes are generally power-constrained with data transmission using an open channel, i.e., Internet which opens the gates for various types of attacks on them. In this context, several efforts are initiated to deal with the evolving security issues in IoT systems and make them self-sufficient to harvest energy for smooth functioning. Motivated by these facts, in this paper, we explore the evolving vulnerabilities in IoT devices. We provide a state-of-the-art survey that addresses multiple dimensions of the IoT realm. Moreover, we provide a general overview of IoT, Sustainable IoT, its architecture, and the Internet Engineering Task Force (IETF) protocol suite. Subsequently, we explore the open-source tools and datasets for the proliferation in research and growth of IoT. A detailed taxonomy of attacks associated with various vulnerabilities is also presented in the text. Then we have specifically focused on the IoT Vulnerability Assessment techniques followed by a case study on sustainability of Smart Agriculture. Finally, this paper outlines the emerging challenges related to IoT and its sustainability, and opening the doors for the beginners to start research in this promising area.",2020,computing social computing computing internet iot social iot iot generally internet opens gates attacks initiated evolving iot functioning facts explore evolving vulnerabilities iot iot realm iot iot internet ietf suite explore proliferation iot attacks vulnerabilities iot vulnerability iot opening doors beginners
187,Ontology Modeling for Decentralized Household Energy Systems,"In a decentralized household energy system consisting of various devices such as washing machines, heat pumps, and solar panels, understanding the electric energy consumption and production data at the granularity of the device helps end-users be closer to the system and further achieve the sustainability of energy use. However, many datasets in this area are isolated from other domains with records of only energy-related data. This may raise a loss of information (e.g. weather) that is relevant to the energy use of each device. A noticeable disadvantage is that many of those datasets have to be used in computational modeling approaches such as machine learning models, which are vulnerable to the data feed, to advance the understanding of energy consumption and production. Although such computational methods have achieved a high benchmark merely through a local view of datasets, the reusability cannot be firmly guaranteed when the information omission is taken into account. This paper addresses the data isolation problem in the smart energy systems area by exploring Semantic Web techniques on top of a household energy system. We propose an ontology modeling solution for the management of decentralized data at the resolution of a device in the system. As a result, the scope of the data concerning each device can be easily extended to be wider across the web and more information that may be of interest such as weather can be retrieved from the Web if the data are structured by the ontology.",2021,decentralized household system washing pumps understanding production data device system many datasets area records data may information weather device noticeable disadvantage many datasets computational modeling data understanding production computational merely datasets reusability firmly information omission taken data isolation area exploring web household system ontology modeling decentralized data device system data device web information may weather retrieved web data ontology
188,"Modeling, Simulation and Optimization of Power Plant Energy Sustainability for IoT Enabled Smart Cities Empowered With Deep Extreme Learning Machine","A smart city is a sustainable and effective metropolitan hub, that offers its residents high excellence of life through appropriate resource management. Energy management is among the most challenging problems in such metropolitan areas due to the difficulty and key role of energy systems. To optimize the benefit from the available megawatt-hours, it is important to predict the maximum electrical power output of a baseload power plant. This paper explores the method of a deep extreme learning machine to create a predictive model that can predict a combined cycle power plant's hourly full-load electrical output. An intelligent energy management solution can be achieved by properly monitoring and controlling these resources through the internet of things (IoT). The universe of artificial intelligence has produced many strides through deep learning algorithms and these methods were used for data analysis. Nonetheless, for further accuracy, deep extreme learning machine (DELM) is another candidate to be investigated for analyses of the data sequence. By using the DELM approach, a high level of reliability with a minimum error rate is achieved. The approach shows better results compared to previous investigations since previous studies could not meet the findings up to the mark and unable to predict power plant electrical energy output efficiently. During the investigation, it is shown that the proposed approach has the highest accuracy rate of 98.6% with 70% of training (33488 samples), 30% of test and validation (14352 examples). Simulation results validate the prediction effectiveness of the proposed scheme.",2020,metropolitan hub excellence management management metropolitan predict electrical power output baseload power plant deep extreme predict power plant electrical output management achieved properly universe strides deep nonetheless accuracy deep extreme delm delm approach rate achieved approach previous investigations previous mark unable predict power plant electrical output approach accuracy rate
189,Energy-Aware Mobile Edge Computing and Routing for Low-Latency Visual Data Processing,"New paradigms such as Mobile Edge Computing (MEC) are becoming feasible for use in, e.g., real-time decision-making during disaster incident response to handle the data deluge occurring in the network edge. However, MEC deployments today lack flexible IoT device data handling such as handling user preferences for real-time versus energy-efficient processing. Moreover, MEC can also benefit from a policy-based edge routing to handle sustained performance levels with efficient energy consumption. In this paper, we study the potential of MEC to address application issues related to energy management on constrained IoT devices with limited power sources, while also providing low-latency processing of visual data being generated at high resolutions. Using a facial recognition application that is important in disaster incident response scenarios, we propose a novel “offload decision-making” algorithm that analyzes the tradeoffs in computing policies to offload visual data processing (i.e., to an edge cloud or a core cloud) at low-to-high workloads. This algorithm also analyzes the impact on energy consumption in the decision-making under different visual data consumption requirements (i.e., users with thick clients or thin clients). To address the processing-throughput versus energy-efficiency tradeoffs, we propose a “Sustainable Policy-based Intelligence-Driven Edge Routing” algorithm that uses machine learning within Mobile Ad hoc Networks. This algorithm is energy aware and improves the geographic routing baseline performance (i.e., minimizes impact of local minima) for throughput performance sustainability, while also enabling flexible policy specification. We evaluate our proposed algorithms by conducting experiments on a realistic edge and core cloud testbed in the GENI Cloud infrastructure, and recreate disaster scenes of tornado damages within simulations. Our empirical results show how MEC can provide flexibility to users who desire energy conservation over low latency or vice versa in the visual data processing with a facial recognition application. In addition, our simulation results show that our routing approach outperforms existing solutions under diverse user preferences, node mobility, and severe node failure conditions.",2018,edge mec disaster incident response handle data edge mec flexible data handling handling preferences versus processing mec also edge routing handle mec address application also processing visual data facial recognition application disaster incident response offload analyzes tradeoffs offload visual data processing edge cloud core cloud also analyzes visual data clients clients address versus tradeoffs edge routing within routing also flexible edge core cloud cloud disaster within mec visual data processing facial recognition application routing preferences node node
190,Interoperable and Intelligent Architecture for Smart Buildings,"Smart Building is essential to advance towards more comfortable and sustainable cities. However, existing Building Management Systems (BMS) are proprietary non-interoperable solutions based on automatic operations configured by the users. These BMS can not control intelligently current and future buildings with highly heterogeneous legacy appliances and equipment including renewable energy generation, storage, e-vehicles charging points among others. In order to achieve it, this paper proposes an interoperable and intelligent architecture based on recent ICT technologies such as Internet of Things, Artificial Intelligence and Cybersecurity Protocols. This architecture provides five main innovations such as adapt-&-play hardware integration, standardised multi-systems interoperability, building/human behaviours prediction, security/privacy protection and smart services provision for increasing building energy-efficiency, occupants’ well-being and grid flexibility. To evaluate the proposed architecture, five diverse European pilots have been proposed. Specifically, this paper presents the Spanish pilot with multiple heterogeneous equipment and systems that will be employed to demonstrate the impact of the proposed architecture.",2021,building advance comfortable building bms proprietary automatic configured bms intelligently heterogeneous legacy appliances equipment charging others interoperable architecture cybersecurity protocols architecture five innovations standardised interoperability behaviours provision building occupants proposed architecture five european pilots proposed spanish pilot heterogeneous equipment proposed architecture
191,Prediction of Harvestable Energy for Self-Powered Wearable Healthcare Devices: Filling a Gap,"Self-powered or autonomously driven wearable devices are touted to revolutionize the personalized healthcare industry, promising sustainable medical care for a large population of healthcare seekers. Current wearable devices rely on batteries for providing the necessary energy to the various electronic components. However, to ensure continuous and uninterrupted operation, these wearable devices need to scavenge energy from their surroundings. Different energy sources have been used to power wearable devices. These include predictable energy sources such as solar energy and radio frequency, as well as unpredictable energy from the human body. Nevertheless, these energy sources are either intermittent or deliver low power densities. Therefore, being able to predict or forecast the amount of harvestable energy over time enables the wearable to intelligently manage and plan its own energy resources more effectively. Several prediction approaches have been proposed in the context of energy harvesting wireless sensor network (EH-WSN) nodes. In their architectural design, these nodes are very similar to self-powered wearable devices. However, additional factors need to be considered to ensure a deeper market penetration of truly autonomous wearables for healthcare applications, which include low-cost, low-power, small-size, high-performance and lightweight. In this paper, we review the energy prediction approaches that were originally proposed for EH-WSN nodes and critique their application in wearable healthcare devices. Our comparison is based on their prediction accuracy, memory requirement, and execution time. We conclude that statistical techniques are better designed to meet the needs of short-term predictions, while long-term predictions require the hybridization of several linear and non-linear machine learning techniques. In addition to the recommendations, we discuss the challenges and future perspectives of these technique in our review.",2020,wearable devices healthcare healthcare wearable devices ensure wearable devices sources wearable devices include sources sources wearable several prediction nodes nodes wearable devices ensure healthcare include review prediction nodes wearable healthcare devices prediction predictions predictions several review
192,Intelligent energy consumption estimation for electric vehicles: Business processes and services,"Nowadays, Fully Electric Vehicles are in the spotlight of energy-efficient and sustainable mobility. Their overall efficiency however, as well as their commercial viability, depend strongly on the degree of confidence they offer to the driver in terms of energy savings and range characteristics. To this end, advanced consumption prediction mechanisms must be implemented in order to enable the provision of energy-based routing functionalities. In this context, this paper presents an innovative energy consumption estimation service that relies on the vehicles' travelling history and experience and deploys machine learning mechanisms in order to obtain accurate, robust and cost-efficient estimations.",2014,nowadays fully vehicles spotlight mobility overall commercial viability depend strongly degree confidence offer driver savings range characteristics end consumption mechanisms must implemented order provision routing functionalities innovative consumption estimation service relies vehicles travelling history experience deploys mechanisms order obtain accurate robust estimations
193,Data Analytics in Wind Turbine Generators for Improving Efficiency,"Wind energy being a notable and eligible source, has the possibility for bringing out energy in a very constant and sustainable manner. However, wind energy does include numerous challenges like, the halted asset of wind plants, early investment costs, and the strain in discovering areas of wind efficiency. The major objective for proposing this work is to determine the power efficiency of wind turbines, which also aids in the formulation of a proposal to reduce wind turbine maintenance costs. During this research, data analysis of turbine generators is performed on day-to-day wind speed info using machine learning and deep learning algorithms. A way is put forward to support deep learning and machine learning algorithms which can predict different values of power reliably. Hence, the execution of machine and deep learning algorithms are analyzed. For forecasting for a longer term, these algorithms may be used for wind generation rate with historical relation to wind speed info. Moreover, the application of deep and machine learning-based models is place distinct to that of model-trained places. This data analysis demonstrates that in unspecified geographies of wind plants, these sets of algorithms could be successfully implied by utilizing the base location model. The entire project focuses on wind turbine generators and includes the use of data visualization of data analytics to analyze the data and detect the factors that influence wind power generation. With the support of previous data output, wind power is anticipated using both machine learning and deep learning models, where different datasets are used for training and testing. This adds to the uniqueness of this work.",2022,wind wind wind plants wind power wind wind turbine data turbine generators wind speed info machine learning deep learning deep learning machine learning power machine deep learning wind wind speed info deep machine data wind plants wind turbine generators data data data wind power data wind power machine learning deep learning
